anio,altas
2002,3
2003,58
2004,19
2005,8
2006,19
2007,12
2008,24
2009,14
2010,35
2011,36
2012,65
2013,73
2014,92
2015,103
2016,139
2017,136
2018,257
2019,276
2020,217
2021,503
2022,481
2023,443
2024,589
2025,234
