cantidad_consorcios,administradores
0,3834
1,929
2,428
3,104
4,46
5,34
6,30
7,28
8,22
9,17
10,13
11,18
12,16
13,20
14,7
15,11
16,3
17,10
18,9
19,3
20,10
21,5
22,3
23,4
24,2
25,6
26,6
27,5
28,4
30,4
31,3
32,2
33,3
34,3
35,1
36,3
37,1
38,1
39,1
40,1
41,3
42,2
43,1
47,2
51,1
52,1
54,1
56,1
58,1
64,1
66,1
68,1
80,1
82,1
94,1
98,1
102,1
