anio,altas
2002,3
2003,55
2004,19
2005,7
2006,19
2007,12
2008,24
2009,14
2010,35
2011,38
2012,65
2013,74
2014,92
2015,103
2016,140
2017,135
2018,257
2019,276
2020,219
2021,508
2022,483
2023,446
2024,595
2025,237
